t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001189,0.000000,0.012366,0.079086,calls/second,seconds
1513110998,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001191,0.000000,0.012574,0.079527,calls/second,seconds
1513248006,1,0.012000,0.012000,0.012000,0.000000,0.012000,0.012000,0.012000,0.012000,0.012000,0.012000,0.001195,0.000000,0.012574,0.079527,calls/second,seconds
1513267498,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001249,0.000000,0.014130,0.082681,calls/second,seconds
1515080661,1,0.019000,0.019000,0.019000,0.000000,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.001188,0.000000,0.012366,0.079086,calls/second,seconds
1515769897,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001202,0.000000,0.012786,0.079970,calls/second,seconds
1515781585,1,0.013000,0.013000,0.013000,0.000000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.001220,0.000000,0.013441,0.081314,calls/second,seconds
1515782918,1,0.009000,0.009000,0.009000,0.000000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.001210,0.000000,0.013000,0.080415,calls/second,seconds
1516041169,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001162,0.000000,0.011569,0.077348,calls/second,seconds
1516877847,1,0.015000,0.015000,0.015000,0.000000,0.015000,0.015000,0.015000,0.015000,0.015000,0.015000,0.001193,0.000000,0.012574,0.079527,calls/second,seconds
1517522958,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001168,0.000000,0.011763,0.077779,calls/second,seconds
1519374973,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001178,0.000000,0.012162,0.078648,calls/second,seconds
1519381976,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001163,0.000000,0.011763,0.077779,calls/second,seconds
1519661541,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001195,0.000000,0.012574,0.079527,calls/second,seconds
1519664145,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001191,0.000000,0.012574,0.079527,calls/second,seconds
